planned_production_tons,active_shovels,shovel_availability_pct,haul_trucks,rainfall_mm,soil_moisture_pct,temperature_c,blasting_delayed,actual_production_tons,shortfall_tons
1000.0,7,67.4,15,0.3,20.4,38.0,0,1016.9,0.0
1400.0,7,91.7,16,13.7,53.7,23.3,0,1362.8,37.2
1000.0,7,79.3,18,0.6,18.1,26.1,0,1050.0,0.0
1000.0,5,91.6,10,1.2,19.1,37.6,0,936.4,63.6
1600.0,6,96.6,15,1.7,32.2,24.0,0,1278.4,321.6
1600.0,5,73.1,12,3.2,27.8,28.4,0,782.4,817.6
1400.0,3,93.3,10,0.3,27.7,26.4,0,606.3,793.7
1200.0,7,67.1,16,1.3,20.3,28.4,0,991.9,208.1
1000.0,5,96.5,10,103.2,95.0,37.0,1,150.0,850.0
1400.0,5,87.8,13,14.8,50.8,28.8,0,933.3,466.7
1200.0,3,95.6,8,4.3,27.7,33.3,0,548.7,651.3
1000.0,4,65.0,10,24.1,63.7,22.4,0,489.9,510.1
1200.0,6,70.9,11,4.1,30.1,39.3,0,867.8,332.2
1000.0,4,78.6,10,3.0,21.2,28.9,0,667.3,332.7
1600.0,7,78.3,13,2.0,25.0,35.6,0,1095.8,504.2
1200.0,5,72.9,13,3.0,31.4,37.4,0,770.3,429.7
1400.0,3,78.4,10,26.2,64.6,25.0,1,187.7,1212.3
1200.0,3,69.5,10,0.4,22.4,41.2,0,407.8,792.2
1200.0,6,79.4,15,2.7,18.0,34.8,0,1046.5,153.5
1200.0,4,93.1,11,1.9,18.0,30.3,0,783.2,416.8
1000.0,6,81.8,13,2.5,18.0,24.4,0,998.6,1.4
1600.0,5,65.6,13,1.0,21.0,42.6,0,695.7,904.3
1400.0,6,79.8,14,5.9,29.0,38.1,0,953.4,446.6
1600.0,3,66.0,10,51.6,92.0,25.0,1,150.0,1450.0
1400.0,3,98.8,6,0.9,28.4,28.1,0,661.3,738.7
1200.0,7,69.5,18,1.5,18.0,39.4,1,743.8,456.2
1600.0,7,89.8,13,3.5,20.4,36.7,0,1395.1,204.9
1000.0,5,99.0,14,4.0,28.4,38.4,0,972.2,27.8
1000.0,4,93.9,9,4.0,32.9,30.6,0,793.3,206.7
1000.0,6,89.5,15,5.6,40.7,37.2,1,874.7,125.3
1200.0,5,94.4,13,0.8,26.1,29.3,0,984.9,215.1
1200.0,7,99.4,18,6.2,39.2,25.1,0,1260.0,0.0
1200.0,6,86.7,12,5.7,24.5,35.2,0,1172.8,27.2
1400.0,7,84.6,14,5.7,41.3,43.4,1,968.2,431.8
1200.0,6,87.0,13,2.9,18.0,27.5,0,1093.3,106.7
1200.0,4,83.6,7,3.8,25.1,31.1,0,737.8,462.2
1200.0,5,87.2,14,0.2,25.2,36.2,1,694.2,505.8
1000.0,6,80.7,15,5.0,21.5,33.0,0,1050.0,0.0
1400.0,3,72.6,10,1.0,18.8,40.2,0,481.1,918.9
1000.0,3,69.2,7,0.5,18.0,38.3,0,465.0,535.0
1600.0,6,67.4,14,0.7,21.5,21.4,0,783.8,816.2
1400.0,6,74.2,14,1.4,31.1,44.0,0,1004.6,395.4
1000.0,6,66.6,13,12.8,41.3,38.1,0,816.4,183.6
1000.0,3,84.9,9,1.0,21.1,40.7,0,534.2,465.8
1400.0,3,74.9,7,0.4,18.0,35.6,0,449.2,950.8
1400.0,6,93.9,15,0.9,25.7,40.6,0,1146.8,253.2
1400.0,7,67.6,14,2.1,29.1,22.7,0,951.6,448.4
1400.0,7,72.9,15,7.7,25.1,28.3,0,1075.6,324.4
1000.0,4,90.6,11,1.1,23.3,41.0,0,691.7,308.3
1200.0,5,86.0,11,3.4,28.1,24.8,0,894.1,305.9
1000.0,7,67.3,15,5.6,35.2,21.9,0,1025.7,0.0
1400.0,3,95.7,9,3.5,23.7,38.9,0,625.0,775.0
1400.0,7,95.7,17,1.0,19.1,40.1,1,1157.7,242.3
1200.0,4,76.6,7,3.4,24.8,23.9,0,611.8,588.2
1000.0,4,76.9,9,52.2,95.0,40.5,1,153.5,846.5
1200.0,5,99.6,12,12.5,45.9,36.5,0,1082.4,117.6
1200.0,7,86.9,15,1.1,23.5,32.5,1,987.1,212.9
1400.0,3,83.6,7,10.5,42.9,39.9,0,523.7,876.3
1400.0,3,94.3,9,0.7,18.0,30.1,1,290.8,1109.2
1400.0,6,75.0,13,0.2,26.2,24.7,0,968.3,431.7
1200.0,3,80.0,10,0.4,18.0,26.8,1,252.7,947.3
1000.0,5,74.4,11,4.9,38.2,32.1,0,832.1,167.9
1400.0,5,92.6,14,2.5,20.4,32.8,0,890.9,509.1
1400.0,3,85.1,8,0.7,18.8,39.3,0,525.1,874.9
1200.0,3,88.1,9,2.0,27.9,39.0,0,507.6,692.4
1400.0,6,73.8,13,1.9,28.1,34.0,0,963.1,436.9
1200.0,3,72.7,10,2.7,23.8,38.7,0,458.2,741.8
1200.0,6,82.1,16,9.7,38.5,24.6,0,1055.6,144.4
1200.0,6,90.8,16,5.0,32.0,21.2,0,1130.5,69.5
1000.0,3,83.4,6,0.9,25.4,41.0,0,488.9,511.1
1000.0,4,66.1,7,3.0,24.4,21.8,0,525.2,474.8
1000.0,4,95.4,10,0.0,24.6,25.9,0,747.7,252.3
1400.0,6,67.3,13,7.1,39.7,36.7,0,803.3,596.7
1200.0,3,98.5,6,1.1,18.0,29.8,0,568.7,631.3
1200.0,4,65.9,9,2.0,20.7,41.0,0,517.1,682.9
1600.0,3,89.3,7,69.1,95.0,27.2,1,150.0,1450.0
1200.0,3,67.9,9,3.9,22.6,20.3,0,441.4,758.6
1200.0,3,96.9,9,0.6,18.0,27.2,0,622.7,577.3
1400.0,7,81.3,17,2.8,31.7,33.9,0,1208.2,191.8
1200.0,3,69.8,6,9.0,24.3,29.0,0,480.9,719.1
1000.0,7,76.9,15,2.1,23.1,32.8,0,1050.0,0.0
1200.0,6,70.8,11,3.4,30.9,41.0,0,864.4,335.6
1000.0,4,71.0,10,2.7,27.4,41.9,1,420.4,579.6
1600.0,4,98.2,11,1.1,21.7,26.4,0,856.4,743.6
1400.0,4,80.6,11,4.1,22.7,31.1,0,682.2,717.8
1400.0,4,92.6,9,0.9,25.0,33.2,0,780.8,619.2
1400.0,4,87.4,9,2.1,20.2,42.8,0,744.2,655.8
1400.0,4,88.7,8,1.5,25.5,44.0,0,737.8,662.2
1000.0,4,69.6,8,7.4,33.8,25.6,0,589.2,410.8
1400.0,6,73.2,15,0.9,24.1,37.4,0,939.8,460.2
1200.0,3,92.5,7,10.4,34.4,29.1,0,557.5,642.5
1400.0,5,99.0,9,4.3,38.6,20.2,0,982.1,417.9
1400.0,7,74.2,16,6.6,33.8,20.2,0,1018.0,382.0
1200.0,5,74.5,11,2.0,23.6,31.1,0,813.4,386.6
1000.0,5,81.6,11,8.4,35.9,31.7,1,516.1,483.9
1200.0,3,99.4,10,17.5,44.3,20.5,0,642.7,557.3
1200.0,3,74.4,6,0.3,20.5,36.5,0,428.4,771.6
1400.0,3,79.2,8,73.6,95.0,27.1,1,150.0,1250.0
1400.0,4,96.2,11,3.1,22.8,33.4,0,783.0,617.0
1000.0,6,65.1,13,34.4,73.3,27.2,1,539.2,460.8
1200.0,4,66.4,11,3.1,24.4,24.0,0,512.6,687.4
1200.0,6,86.1,13,1.3,18.8,29.8,0,1063.8,136.2
1200.0,6,96.8,15,46.2,93.4,25.6,1,854.9,345.1
1000.0,5,73.4,12,1.4,24.3,32.8,0,727.9,272.1
1200.0,5,81.4,10,0.7,27.5,24.8,0,905.1,294.9
1600.0,6,80.8,14,0.9,27.3,32.2,0,957.4,642.6
1200.0,6,81.6,16,3.7,32.1,23.8,0,1019.9,180.1
1200.0,4,86.8,7,24.1,53.6,36.1,0,773.6,426.4
1400.0,4,81.4,8,4.4,31.8,38.1,0,637.7,762.3
1200.0,5,80.7,12,1.4,27.4,22.6,0,843.1,356.9
1600.0,3,81.6,10,21.1,48.5,31.2,0,518.7,1081.3
1600.0,6,85.7,11,1.0,21.9,21.7,0,1051.3,548.7
1200.0,4,83.8,12,1.0,18.0,34.4,0,701.2,498.8
1200.0,5,94.9,11,2.4,28.9,26.3,0,1016.0,184.0
1200.0,4,66.7,9,8.1,37.5,32.7,0,544.2,655.8
1200.0,6,94.2,15,9.7,43.7,32.4,0,1213.2,0.0
1000.0,6,94.5,12,1.5,23.2,42.2,0,1050.0,0.0
1400.0,7,75.0,15,0.6,25.2,33.2,0,1081.7,318.3
1200.0,3,81.2,10,6.8,37.1,34.0,0,551.0,649.0
1000.0,7,80.3,14,1.1,19.8,29.6,0,1050.0,0.0
1200.0,5,72.6,11,0.4,18.1,42.8,0,792.8,407.2
1600.0,4,78.9,11,2.1,21.5,38.7,0,637.4,962.6
1200.0,5,66.6,12,7.2,31.0,26.8,0,687.7,512.3
1000.0,6,74.7,15,58.7,95.0,40.3,1,460.2,539.8
1200.0,7,93.6,13,0.7,19.6,30.4,0,1260.0,0.0
1600.0,7,75.0,15,7.0,36.9,39.9,0,1017.4,582.6
1200.0,7,93.6,13,0.5,22.2,39.7,0,1260.0,0.0
1400.0,5,83.6,9,0.3,24.0,24.5,0,874.3,525.7
1400.0,6,95.8,16,56.7,95.0,36.8,1,785.4,614.6
1200.0,4,85.1,8,49.3,92.9,27.0,1,424.3,775.7
1400.0,4,66.0,12,1.6,25.9,27.1,0,568.5,831.5
1200.0,5,88.6,11,13.0,42.2,27.1,0,860.5,339.5
1400.0,7,66.6,13,3.3,30.9,37.4,0,941.4,458.6
1400.0,3,80.8,8,0.2,28.8,25.5,0,520.5,879.5
1200.0,5,97.5,9,8.3,31.0,20.0,0,1031.1,168.9
1000.0,5,70.8,12,1.3,28.3,37.2,0,715.6,284.4
1400.0,6,78.6,16,8.4,29.3,24.1,0,1016.8,383.2
1200.0,4,90.5,12,2.0,35.4,22.5,0,751.6,448.4
1000.0,5,95.9,10,0.9,19.4,25.7,0,1037.7,0.0
1000.0,5,88.5,9,26.4,65.0,29.1,1,790.6,209.4
1200.0,7,74.0,17,0.0,18.0,31.4,0,1098.1,101.9
1400.0,7,88.6,18,1.5,23.5,21.1,1,1100.6,299.4
1000.0,3,75.4,10,4.5,36.5,43.3,0,453.6,546.4
1200.0,6,90.1,12,2.1,21.1,37.2,0,1167.1,32.9
1200.0,3,98.4,8,17.9,59.8,27.8,0,627.5,572.5
1400.0,7,90.2,14,0.8,23.2,27.6,0,1316.3,83.7
1000.0,4,95.2,7,0.8,28.1,30.8,0,757.0,243.0
1400.0,7,65.1,15,0.4,24.7,35.0,0,939.6,460.4
1200.0,6,90.1,13,8.6,37.1,23.5,0,1096.6,103.4
1600.0,7,94.0,16,0.8,18.0,24.5,0,1409.0,191.0
1000.0,6,66.4,16,3.9,25.5,40.6,0,879.6,120.4
1200.0,6,95.5,14,5.9,36.8,26.2,0,1235.4,0.0
1000.0,6,74.0,16,9.2,34.1,29.1,0,1019.2,0.0
1600.0,6,88.3,16,0.7,23.7,40.9,0,1096.3,503.7
1400.0,6,93.0,13,5.3,22.3,35.9,0,1192.8,207.2
1200.0,4,88.2,10,1.0,20.8,28.2,0,699.5,500.5
1400.0,3,68.2,6,0.3,28.1,36.4,0,422.9,977.1
1400.0,5,85.9,14,5.1,23.2,20.5,1,615.3,784.7
1200.0,3,84.2,9,2.5,29.4,37.7,0,550.6,649.4
1200.0,6,96.5,15,0.5,23.6,31.7,0,1203.6,0.0
1200.0,4,79.1,8,1.4,22.9,39.5,0,592.9,607.1
1000.0,7,76.2,17,0.8,21.9,42.9,0,1050.0,0.0
1400.0,4,91.2,7,3.3,24.6,42.2,1,584.6,815.4
1600.0,6,79.4,16,110.0,95.0,41.8,1,150.0,1450.0
1400.0,4,87.6,8,11.3,43.7,32.3,0,762.9,637.1
1200.0,4,87.6,10,0.1,20.1,28.6,1,469.4,730.6
1200.0,6,96.1,16,1.1,32.7,31.2,0,1204.3,0.0
1400.0,4,86.0,8,1.6,26.0,36.6,0,722.6,677.4
1400.0,5,82.6,11,1.7,21.7,41.2,0,875.6,524.4
1400.0,5,69.9,12,0.9,28.3,25.0,0,695.2,704.8
1400.0,4,69.1,9,17.2,50.9,42.0,1,320.1,1079.9
1400.0,7,70.4,18,5.2,21.5,39.6,0,1074.2,325.8
1000.0,6,71.0,14,15.6,40.2,43.5,0,887.9,112.1
1000.0,5,87.3,13,4.1,27.6,41.1,0,898.6,101.4
1400.0,7,90.9,14,4.8,21.2,26.7,0,1310.8,89.2
1400.0,4,83.5,12,2.0,35.5,22.5,0,763.4,636.6
1000.0,7,94.0,13,4.4,32.7,22.7,0,1050.0,0.0
1000.0,3,99.7,8,0.9,23.3,27.0,0,650.9,349.1
1400.0,5,93.7,12,1.3,22.2,34.7,0,977.2,422.8
1000.0,4,89.3,12,1.0,20.4,39.3,0,741.8,258.2
1000.0,6,83.6,16,12.5,30.9,41.6,0,1027.1,0.0
1200.0,4,80.7,9,18.2,40.6,35.0,0,644.0,556.0
1400.0,6,68.0,15,8.1,43.7,20.1,0,882.1,517.9
1400.0,4,79.0,9,0.9,31.3,24.5,1,398.3,1001.7
1200.0,7,96.9,15,0.3,19.5,22.4,0,1260.0,0.0
1400.0,7,93.3,17,1.9,29.3,28.7,0,1374.4,25.6
1200.0,7,72.6,13,0.1,24.8,32.0,0,1093.0,107.0
1200.0,3,81.3,7,0.3,25.6,21.0,1,235.9,964.1
1400.0,6,93.6,13,0.6,18.0,28.4,0,1217.0,183.0
1400.0,7,67.4,16,1.6,18.0,24.3,0,985.2,414.8
1400.0,3,78.6,9,1.1,29.6,35.5,0,585.6,814.4
1400.0,6,94.8,12,4.0,18.1,31.1,0,1138.2,261.8
1200.0,4,79.1,7,57.1,95.0,31.9,1,298.1,901.9
1000.0,3,67.7,6,1.4,22.2,30.3,0,422.2,577.8
1200.0,5,84.0,13,1.0,21.2,42.9,0,889.7,310.3
1200.0,3,95.2,10,1.0,25.0,25.2,0,578.4,621.6
1200.0,3,85.7,10,3.7,24.2,32.4,0,484.7,715.3
1600.0,6,72.9,14,0.1,24.2,37.7,0,900.3,699.7
1200.0,4,78.4,10,0.0,22.8,33.4,0,646.2,553.8
1400.0,5,80.8,13,4.0,38.4,42.3,0,854.3,545.7
1400.0,7,85.3,16,1.6,18.0,29.1,1,1051.2,348.8
1400.0,7,91.6,13,0.4,22.7,31.1,0,1352.9,47.1
1200.0,3,68.5,6,0.7,25.2,22.1,0,438.6,761.4
1200.0,6,96.1,12,6.7,30.8,34.6,0,1224.8,0.0
1200.0,6,65.4,16,4.9,22.7,26.9,0,763.0,437.0
1000.0,7,78.0,17,3.1,32.9,23.8,1,831.5,168.5
1400.0,5,66.0,11,1.6,26.2,33.1,0,640.2,759.8
1200.0,4,78.8,12,67.8,95.0,32.8,1,150.0,1050.0
1000.0,5,83.4,11,9.2,38.1,21.8,0,810.2,189.8
1400.0,4,82.9,8,40.0,90.5,36.8,1,416.0,984.0
1000.0,7,70.8,14,0.6,22.7,35.0,0,992.8,7.2
1600.0,4,87.6,10,4.2,28.2,24.5,1,497.4,1102.6
1600.0,6,66.6,12,0.5,30.7,31.3,0,854.1,745.9
1600.0,3,91.7,6,0.6,18.0,37.3,0,567.0,1033.0
1200.0,3,98.1,7,2.8,34.9,32.7,1,301.7,898.3
1000.0,7,76.9,16,2.7,30.9,29.5,0,1050.0,0.0
1600.0,6,83.1,12,6.7,27.4,27.7,0,1058.6,541.4
1200.0,5,78.3,14,0.2,19.0,34.6,0,850.1,349.9
1600.0,6,65.2,12,1.8,22.1,42.5,0,883.3,716.7
1600.0,3,78.5,8,5.8,21.6,36.1,0,533.7,1066.3
1400.0,3,92.7,9,5.9,32.1,21.8,0,589.8,810.2
1200.0,6,85.9,14,0.4,18.2,31.1,0,1071.8,128.2
1200.0,6,68.5,13,1.1,25.2,41.4,0,837.7,362.3
1400.0,3,94.6,9,51.4,92.6,22.3,1,214.1,1185.9
1200.0,5,83.6,14,0.5,27.4,43.7,0,883.5,316.5
1000.0,7,94.5,13,8.6,38.6,42.8,0,1050.0,0.0
1200.0,7,85.3,16,23.8,54.2,21.9,0,1233.4,0.0
1600.0,6,84.6,13,47.9,95.0,42.4,1,717.3,882.7
1400.0,7,68.7,18,0.3,22.9,28.7,0,995.6,404.4
1200.0,3,70.9,9,0.2,29.7,40.3,0,435.8,764.2
1000.0,3,99.0,10,6.0,25.8,30.0,0,630.5,369.5
1400.0,6,73.0,14,9.0,34.7,30.6,0,894.0,506.0
1600.0,6,99.2,12,1.3,20.8,35.2,0,1250.9,349.1
1000.0,6,83.6,14,37.2,78.0,38.6,1,803.5,196.5
1200.0,5,69.8,9,2.3,28.1,20.8,0,673.8,526.2
1400.0,7,68.5,16,24.3,55.3,34.2,0,932.5,467.5
1400.0,6,72.3,15,0.6,21.1,24.5,0,954.7,445.3
1400.0,4,97.4,11,6.7,36.9,28.3,0,766.9,633.1
1400.0,4,79.5,10,6.5,38.5,28.4,0,654.5,745.5
1200.0,3,78.8,9,12.2,42.7,31.3,0,518.0,682.0
1200.0,7,76.0,14,3.8,27.0,28.0,0,1114.6,85.4
1400.0,6,70.1,16,1.0,22.3,22.6,0,881.3,518.7
1400.0,4,82.1,10,2.5,28.4,23.5,0,692.0,708.0
1400.0,7,69.6,14,0.8,24.3,20.8,0,1110.6,289.4
1600.0,3,94.2,10,6.0,22.8,31.3,0,656.0,944.0
1200.0,5,78.0,14,2.5,28.6,42.9,1,540.7,659.3
1200.0,7,78.1,14,0.2,18.0,22.8,0,1185.1,14.9
1400.0,7,81.6,15,6.0,23.9,42.7,0,1217.1,182.9
1400.0,5,80.5,12,46.9,84.0,37.6,1,524.8,875.2
1400.0,7,99.8,18,0.2,21.2,35.3,0,1435.6,0.0
1400.0,3,84.1,10,1.9,19.8,35.5,0,545.6,854.4
1400.0,3,68.1,9,0.9,18.0,39.8,0,418.2,981.8
1200.0,5,86.2,14,1.2,22.1,22.6,0,892.2,307.8
1200.0,6,70.3,12,0.5,20.3,32.1,0,859.0,341.0
1000.0,4,66.1,12,1.6,23.7,36.7,0,590.1,409.9
1200.0,6,99.0,13,38.5,76.7,34.1,1,991.0,209.0
1000.0,7,92.1,16,53.3,95.0,40.0,1,912.6,87.4
1200.0,4,99.3,10,9.4,38.7,21.7,0,861.4,338.6
1200.0,5,81.7,14,2.4,23.1,36.6,0,853.1,346.9
1200.0,5,83.6,9,1.0,23.2,32.8,0,874.0,326.0
1200.0,4,70.9,7,4.8,36.3,29.1,0,631.6,568.4
1000.0,3,73.6,6,1.4,28.9,28.2,0,509.9,490.1
1000.0,4,94.3,7,0.5,18.0,34.9,0,718.1,281.9
1400.0,7,77.5,14,0.5,18.0,41.4,0,1134.3,265.7
1200.0,3,93.9,9,3.7,23.6,31.9,0,542.5,657.5
1000.0,5,89.8,10,0.8,21.0,39.8,0,929.5,70.5
1200.0,4,71.2,7,3.6,24.5,29.7,0,597.9,602.1
1400.0,6,82.8,16,0.6,23.0,22.5,0,1030.4,369.6
1200.0,6,88.7,15,1.0,27.1,21.5,0,1081.8,118.2
1400.0,7,73.2,13,1.6,28.9,21.2,0,1038.8,361.2
1000.0,6,94.1,12,7.2,31.1,29.1,0,1050.0,0.0
1000.0,4,84.1,9,39.8,73.6,28.1,1,506.1,493.9
1200.0,4,70.8,10,0.6,18.0,37.2,0,522.5,677.5
1200.0,6,85.4,11,1.1,21.1,37.8,0,1064.6,135.4
1400.0,4,100.0,8,4.4,22.4,21.2,0,865.5,534.5
1400.0,7,70.3,17,1.8,30.4,25.3,0,1031.8,368.2
1600.0,3,93.6,6,1.5,18.4,26.6,0,550.6,1049.4
1200.0,7,72.3,13,5.8,33.7,33.1,0,1045.4,154.6
1200.0,7,92.4,16,6.6,23.6,23.5,0,1260.0,0.0
1400.0,4,90.7,8,25.2,63.1,23.2,1,465.1,934.9
1200.0,3,75.5,7,39.4,80.3,42.7,1,257.3,942.7
1200.0,4,76.4,11,5.7,38.1,39.3,1,321.2,878.8
1000.0,5,92.7,10,4.1,22.5,24.3,0,955.4,44.6
1000.0,4,81.2,11,0.0,19.2,29.8,1,501.6,498.4
1600.0,4,90.6,7,1.0,21.6,28.5,0,744.1,855.9
1400.0,4,70.2,10,1.4,23.3,39.0,0,554.3,845.7
1400.0,3,94.8,8,0.7,21.2,32.2,0,675.5,724.5
1200.0,4,89.9,12,0.6,21.2,23.1,0,752.3,447.7
1000.0,3,96.7,7,0.1,20.4,37.7,0,518.5,481.5
1000.0,6,69.6,14,2.6,18.0,29.5,0,921.3,78.7
1200.0,5,85.8,9,0.8,28.1,26.3,0,944.2,255.8
1200.0,3,86.0,7,0.1,36.5,29.0,0,557.6,642.4
1400.0,6,77.4,12,63.3,95.0,31.9,1,439.9,960.1
1400.0,3,81.0,8,4.0,22.4,28.2,0,586.2,813.8
1200.0,3,66.3,7,4.8,24.0,25.8,0,384.2,815.8
1600.0,5,91.1,9,66.5,95.0,29.6,1,402.6,1197.4
1400.0,7,84.2,18,1.3,25.9,20.5,0,1307.1,92.9
1200.0,7,67.0,17,9.5,34.9,38.5,0,1061.6,138.4
1400.0,3,88.8,9,0.6,26.6,24.1,1,268.6,1131.4
1200.0,4,81.3,7,0.6,18.0,21.1,0,753.6,446.4
1200.0,6,66.2,11,0.9,27.1,35.7,0,862.3,337.7
1200.0,4,98.9,11,0.5,23.9,38.6,1,624.0,576.0
1400.0,4,98.2,12,1.2,18.8,39.5,0,852.0,548.0
1000.0,3,83.0,7,10.1,30.0,31.8,0,533.3,466.7
1000.0,3,68.3,9,2.4,26.2,24.9,0,507.5,492.5
1000.0,3,91.4,6,1.3,31.0,37.7,0,557.4,442.6
1000.0,3,82.2,8,3.1,25.5,36.8,0,584.6,415.4
1400.0,7,75.6,14,0.1,18.0,25.9,0,1183.2,216.8
1400.0,3,82.2,10,44.5,89.6,41.7,1,233.8,1166.2
1200.0,7,83.3,18,2.1,34.2,22.5,0,1221.8,0.0
1000.0,7,84.7,16,3.9,30.0,43.6,0,1050.0,0.0
1200.0,3,80.4,8,0.1,24.8,40.6,0,462.2,737.8
1200.0,5,86.2,9,6.1,37.3,36.5,0,889.3,310.7
1000.0,6,97.2,15,2.9,28.7,42.5,0,1050.0,0.0
1200.0,4,77.7,9,3.0,22.6,37.3,0,602.6,597.4
1200.0,7,90.4,18,2.5,18.0,24.6,0,1260.0,0.0
1400.0,6,96.3,16,1.0,18.8,30.6,0,1281.5,118.5
1400.0,5,81.0,12,0.2,18.0,21.7,1,612.9,787.1
1000.0,4,80.5,11,1.4,27.4,29.4,0,712.6,287.4
1200.0,4,86.1,12,0.3,26.5,37.8,0,742.8,457.2
1400.0,7,85.7,15,7.4,33.9,29.3,0,1249.0,151.0
1200.0,3,93.2,8,1.6,18.1,27.9,0,581.9,618.1
1400.0,5,81.7,11,1.0,32.4,34.3,1,596.5,803.5
1400.0,7,99.9,17,3.6,25.4,40.9,0,1396.2,3.8
1000.0,5,67.1,14,1.7,27.6,21.1,0,737.5,262.5
1000.0,3,65.1,6,0.9,23.6,29.3,0,406.1,593.9
1400.0,3,87.4,10,4.2,29.3,23.8,0,585.0,815.0
1000.0,7,75.4,17,5.0,32.4,36.7,0,1050.0,0.0
1200.0,3,73.4,10,2.8,22.7,22.5,0,456.8,743.2
1600.0,6,75.9,16,0.1,28.7,36.0,0,963.5,636.5
1200.0,4,74.0,7,2.1,18.0,26.9,0,628.3,571.7
1200.0,7,66.1,18,33.0,66.2,24.8,1,776.3,423.7
1400.0,5,99.0,14,0.4,29.0,42.5,0,1041.7,358.3
1200.0,6,72.7,13,0.6,25.9,20.4,0,926.4,273.6
1200.0,7,90.7,14,5.4,42.7,30.5,0,1260.0,0.0
1600.0,3,91.7,7,32.5,71.1,20.5,1,288.0,1312.0
1200.0,3,97.5,7,7.8,42.2,31.6,0,665.3,534.7
1600.0,3,66.1,8,1.6,18.0,32.0,0,431.2,1168.8
1600.0,3,95.5,6,1.5,18.0,27.7,0,564.0,1036.0
1000.0,5,83.5,11,42.5,90.2,23.2,1,563.5,436.5
1000.0,6,87.1,15,4.3,19.7,29.0,0,1050.0,0.0
1000.0,4,87.6,11,1.1,22.7,36.1,0,770.5,229.5
1000.0,5,93.7,14,1.9,30.8,38.8,0,1014.5,0.0
1000.0,5,76.7,12,2.8,28.7,32.7,0,684.1,315.9
1400.0,4,90.7,7,16.1,46.2,34.2,0,758.7,641.3
1000.0,4,83.5,7,10.4,35.4,24.8,1,416.4,583.6
1200.0,3,92.8,10,40.2,83.3,26.9,1,278.7,921.3
1400.0,5,99.7,13,1.3,26.8,23.9,0,1032.9,367.1
1000.0,7,72.0,14,79.1,95.0,26.0,1,328.1,671.9
1400.0,4,99.8,10,2.6,27.7,25.4,0,852.7,547.3
1200.0,4,68.1,12,0.9,28.7,32.5,0,554.9,645.1
1000.0,6,65.1,14,37.4,77.1,33.5,1,558.3,441.7
1400.0,7,66.5,17,4.6,29.3,42.7,0,970.2,429.8
1400.0,7,77.0,17,1.1,26.1,24.7,0,1141.2,258.8
1400.0,4,87.2,8,2.7,28.8,35.4,0,682.0,718.0
1400.0,3,67.4,6,68.1,95.0,39.6,1,150.0,1250.0
1400.0,6,65.2,11,0.6,18.0,33.4,0,857.7,542.3
1200.0,7,97.8,16,2.3,22.8,26.1,0,1260.0,0.0
1000.0,4,93.8,10,0.2,19.8,26.3,1,468.8,531.2
1400.0,7,93.3,17,35.6,70.9,20.9,1,1105.3,294.7
1400.0,6,96.0,11,0.8,18.0,27.3,1,978.7,421.3
1600.0,6,89.5,16,1.4,18.0,37.9,0,1109.6,490.4
